##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	Known_index_pair_R4.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	84254357
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.429756908595245	32.0	32.0	32.0	27.0	32.0
2	30.87761193168918	32.0	32.0	32.0	32.0	32.0
3	33.762315508502425	37.0	32.0	37.0	32.0	37.0
4	34.56982929678046	37.0	37.0	37.0	32.0	37.0
5	35.14688667079852	37.0	37.0	37.0	32.0	37.0
6	37.98438277797313	41.0	37.0	41.0	32.0	41.0
7	38.0659119860116	41.0	37.0	41.0	32.0	41.0
8	38.36339467880575	41.0	41.0	41.0	32.0	41.0
9	38.6529678577928	41.0	41.0	41.0	32.0	41.0
10-11	38.55487681782439	41.0	41.0	41.0	32.0	41.0
12-13	38.62979586325726	41.0	41.0	41.0	32.0	41.0
14-15	38.58824500909787	41.0	41.0	41.0	32.0	41.0
16-17	38.40179139934567	41.0	41.0	41.0	32.0	41.0
18-19	38.550991368909266	41.0	41.0	41.0	32.0	41.0
20-21	38.47974061448241	41.0	41.0	41.0	32.0	41.0
22-23	38.505290278341334	41.0	41.0	41.0	32.0	41.0
24-25	38.67753415410908	41.0	41.0	41.0	32.0	41.0
26-27	38.62022591306465	41.0	41.0	41.0	32.0	41.0
28-29	38.583899910363094	41.0	41.0	41.0	32.0	41.0
30-31	38.43256943376828	41.0	41.0	41.0	32.0	41.0
32-33	38.01296099737608	41.0	41.0	41.0	29.5	41.0
34-35	37.53360122966697	41.0	37.0	41.0	27.0	41.0
36-37	37.33034747389978	41.0	37.0	41.0	27.0	41.0
38-39	37.265187573623045	41.0	37.0	41.0	27.0	41.0
40-41	37.86509892894916	41.0	39.0	41.0	29.5	41.0
42-43	38.25420653913483	41.0	41.0	41.0	32.0	41.0
44-45	38.47163467166452	41.0	41.0	41.0	32.0	41.0
46-47	38.52585570144461	41.0	41.0	41.0	32.0	41.0
48-49	38.552316244013355	41.0	41.0	41.0	32.0	41.0
50-51	38.51972165664975	41.0	41.0	41.0	32.0	41.0
52-53	38.52240082373426	41.0	41.0	41.0	32.0	41.0
54-55	38.48205378862484	41.0	41.0	41.0	32.0	41.0
56-57	38.43515093824762	41.0	41.0	41.0	32.0	41.0
58-59	38.38853221560993	41.0	41.0	41.0	32.0	41.0
60-61	38.34599385762329	41.0	41.0	41.0	32.0	41.0
62-63	38.30639185223383	41.0	41.0	41.0	32.0	41.0
64-65	38.27329234736193	41.0	41.0	41.0	32.0	41.0
66-67	38.28720217400745	41.0	41.0	41.0	32.0	41.0
68-69	38.2271264440366	41.0	41.0	41.0	32.0	41.0
70-71	38.15089231527813	41.0	41.0	41.0	32.0	41.0
72-73	38.076898943042195	41.0	41.0	41.0	32.0	41.0
74-75	38.04730299585575	41.0	41.0	41.0	32.0	41.0
76-77	37.49026118613664	41.0	39.0	41.0	29.5	41.0
78-79	37.76630049529664	41.0	37.0	41.0	29.5	41.0
80-81	38.007590723171745	41.0	39.0	41.0	32.0	41.0
82-83	38.0611248448552	41.0	41.0	41.0	32.0	41.0
84-85	38.00258715403881	41.0	41.0	41.0	32.0	41.0
86-87	37.93296648148416	41.0	39.0	41.0	29.5	41.0
88-89	37.8393872437956	41.0	37.0	41.0	27.0	41.0
90-91	37.68505133805721	41.0	37.0	41.0	27.0	41.0
92-93	37.59251310291289	41.0	37.0	41.0	27.0	41.0
94-95	37.46370935452038	41.0	37.0	41.0	27.0	41.0
96-97	37.38860071651844	41.0	37.0	41.0	27.0	41.0
98-99	37.30428707087516	41.0	37.0	41.0	27.0	41.0
100-101	36.25014013815333	41.0	34.5	41.0	24.5	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.22031952545847133
1101	2	-0.3838966058081468
1101	3	-0.6393218217600278
1101	4	-0.6054311311686575
1101	5	-0.5668197012774456
1101	6	-0.9180304286375929
1101	7	-0.17227895675048188
1101	8	0.03259333757815597
1101	9	0.12369921584672028
1101	10-11	0.2207874641660439
1101	12-13	0.13137235113638468
1101	14-15	0.1251540940801732
1101	16-17	0.0949537111174692
1101	18-19	0.03000915418811445
1101	20-21	0.10566024399462748
1101	22-23	0.031152022671477653
1101	24-25	-0.04778097567343309
1101	26-27	-0.011334573366475809
1101	28-29	0.006326950852823643
1101	30-31	0.10627509848720251
1101	32-33	0.25419438679269035
1101	34-35	0.3214960623865082
1101	36-37	0.41016876701116445
1101	38-39	0.2548885613552372
1101	40-41	9.220929367330655E-4
1101	42-43	-0.040947954653759666
1101	44-45	-0.0818529363331848
1101	46-47	-0.05190199580074761
1101	48-49	-0.07988761210653195
1101	50-51	-0.07779735401545906
1101	52-53	-0.07118410435923295
1101	54-55	-0.06166396607090263
1101	56-57	-0.06942159341230791
1101	58-59	-0.08680547747496803
1101	60-61	-0.08616738793457301
1101	62-63	-0.14582105529163414
1101	64-65	-0.1595940607369286
1101	66-67	-0.1116416435734422
1101	68-69	-0.15889312092715357
1101	70-71	-0.12092170688107728
1101	72-73	-0.10710025010234858
1101	74-75	-0.13687729011033412
1101	76-77	-0.26104052967490077
1101	78-79	-0.1637033450621317
1101	80-81	-0.13065573788244933
1101	82-83	-0.162154399883768
1101	84-85	-0.16201760666689324
1101	86-87	-0.21814251281852393
1101	88-89	-0.24209045787134897
1101	90-91	-0.18798779357476292
1101	92-93	-0.18595017723060892
1101	94-95	-0.13373490125727727
1101	96-97	-0.13435873300501555
1101	98-99	-0.22018779359770235
1101	100-101	-0.31514421902664225
1102	1	-0.31898260670251233
1102	2	-0.4544983193462606
1102	3	-0.8896985590369724
1102	4	-0.7773324484062769
1102	5	-0.8340726225699626
1102	6	-1.0622225998611228
1102	7	-0.8787670662698801
1102	8	-0.5151766349214739
1102	9	-0.2818538656048517
1102	10-11	-0.05385853390625073
1102	12-13	-0.046033553106347824
1102	14-15	-0.07218032425522125
1102	16-17	-0.10196670915247097
1102	18-19	-0.13663966836501373
1102	20-21	-0.11593058843813253
1102	22-23	-0.1646211368133379
1102	24-25	-0.23688467566788773
1102	26-27	-0.07464451619642887
1102	28-29	-0.06513649773830821
1102	30-31	-0.05206254463176663
1102	32-33	0.0676852703541897
1102	34-35	0.19887701019796822
1102	36-37	0.15528400599370684
1102	38-39	0.07078864799880336
1102	40-41	-0.09572791638308331
1102	42-43	-0.1496307055421724
1102	44-45	-0.20602638564212583
1102	46-47	-0.21205469564888801
1102	48-49	-0.2876346657077491
1102	50-51	-0.17777447918902567
1102	52-53	-0.2696832284066204
1102	54-55	-0.19567991255200923
1102	56-57	-0.21942160582022296
1102	58-59	-0.23412335716261623
1102	60-61	-0.23989017111289002
1102	62-63	-0.23080065573401498
1102	64-65	-0.1831104085733486
1102	66-67	-0.20424111963568947
1102	68-69	-0.21376884169649912
1102	70-71	-0.19293567255662936
1102	72-73	-0.19756728408679436
1102	74-75	-0.27645423055777485
1102	76-77	-0.6219206275535498
1102	78-79	-0.34997081330475055
1102	80-81	-0.2452447051729223
1102	82-83	-0.32628380265326484
1102	84-85	-0.29673259108794525
1102	86-87	-0.2925615619940274
1102	88-89	-0.3145004942141014
1102	90-91	-0.26631242216173234
1102	92-93	-0.35474666055289816
1102	94-95	-0.31227452242185194
1102	96-97	-0.37793470008818275
1102	98-99	-0.4075203094842763
1102	100-101	-0.49185111444985097
1103	1	-0.5372027117165068
1103	2	-0.4404923762612931
1103	3	-0.9209252348304133
1103	4	-0.7411350245371224
1103	5	-0.8189551997088103
1103	6	-0.7600506081421443
1103	7	-0.8065318186394279
1103	8	-0.8299912627883756
1103	9	-0.3274500457360574
1103	10-11	-0.10920341469533668
1103	12-13	-0.07561725184559265
1103	14-15	-0.10365562637407777
1103	16-17	-0.11435447815895117
1103	18-19	-0.13431672776241754
1103	20-21	-0.10956706166487606
