##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	Unknown_index_pair_R1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	7962833
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.417301480515793	32.0	32.0	32.0	27.0	32.0
2	30.664020707203075	32.0	32.0	32.0	27.0	32.0
3	33.98569529211525	37.0	32.0	37.0	32.0	37.0
4	34.76541904118798	37.0	37.0	37.0	32.0	37.0
5	35.23119334538348	37.0	37.0	37.0	32.0	37.0
6	38.20182992661029	41.0	37.0	41.0	32.0	41.0
7	38.445474744980835	41.0	37.0	41.0	32.0	41.0
8	38.57556688681026	41.0	37.0	41.0	32.0	41.0
9	38.81315180162638	41.0	41.0	41.0	32.0	41.0
10-11	38.929770974727205	41.0	41.0	41.0	32.0	41.0
12-13	38.943314144601544	41.0	41.0	41.0	32.0	41.0
14-15	38.890944654999046	41.0	41.0	41.0	32.0	41.0
16-17	38.83995331812183	41.0	41.0	41.0	32.0	41.0
18-19	38.80843689676777	41.0	41.0	41.0	32.0	41.0
20-21	38.70664636568417	41.0	41.0	41.0	32.0	41.0
22-23	38.72339078315469	41.0	41.0	41.0	32.0	41.0
24-25	38.65887831629773	41.0	41.0	41.0	32.0	41.0
26-27	38.48461169536018	41.0	41.0	41.0	32.0	41.0
28-29	38.38852007821839	41.0	39.0	41.0	32.0	41.0
30-31	38.32243266937785	41.0	37.0	41.0	32.0	41.0
32-33	38.308803474843685	41.0	37.0	41.0	32.0	41.0
34-35	38.359812330611476	41.0	39.0	41.0	32.0	41.0
36-37	38.380305539498316	41.0	41.0	41.0	32.0	41.0
38-39	38.31951103332193	41.0	37.0	41.0	32.0	41.0
40-41	38.24685416609893	41.0	37.0	41.0	32.0	41.0
42-43	38.16764944084599	41.0	37.0	41.0	32.0	41.0
44-45	38.18451297421407	41.0	37.0	41.0	32.0	41.0
46-47	38.114909856831105	41.0	37.0	41.0	32.0	41.0
48-49	38.05587408401006	41.0	37.0	41.0	32.0	41.0
50-51	38.0334770300972	41.0	37.0	41.0	32.0	41.0
52-53	37.99483431336561	41.0	37.0	41.0	29.5	41.0
54-55	37.961398663013526	41.0	37.0	41.0	27.0	41.0
56-57	37.904314205760684	41.0	37.0	41.0	27.0	41.0
58-59	37.86449433260751	41.0	37.0	41.0	27.0	41.0
60-61	37.79719259464565	41.0	37.0	41.0	27.0	41.0
62-63	37.753817579748315	41.0	37.0	41.0	27.0	41.0
64-65	37.715209084505474	41.0	37.0	41.0	27.0	41.0
66-67	37.620479482616304	41.0	37.0	41.0	27.0	41.0
68-69	37.51220777831207	41.0	37.0	41.0	27.0	41.0
70-71	37.386498561504425	41.0	37.0	41.0	27.0	41.0
72-73	37.332836253127496	41.0	37.0	41.0	27.0	41.0
74-75	37.16530241184262	41.0	37.0	41.0	27.0	41.0
76-77	36.53715141332237	41.0	34.5	41.0	24.5	41.0
78-79	36.68444522194551	41.0	37.0	41.0	22.0	41.0
80-81	36.99894321531043	41.0	37.0	41.0	27.0	41.0
82-83	36.88609970848315	41.0	37.0	41.0	22.0	41.0
84-85	36.79275397336601	41.0	37.0	41.0	22.0	41.0
86-87	36.61289386578872	41.0	37.0	41.0	22.0	41.0
88-89	36.426365026115704	41.0	37.0	41.0	22.0	41.0
90-91	36.33873377728756	41.0	37.0	41.0	22.0	41.0
92-93	36.24184068659986	41.0	37.0	41.0	22.0	41.0
94-95	36.076297970835256	41.0	37.0	41.0	22.0	41.0
96-97	35.92892743072723	41.0	34.5	41.0	22.0	41.0
98-99	35.79944505931495	41.0	34.5	41.0	22.0	41.0
100-101	35.06676876182132	41.0	32.0	41.0	17.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.6972002817561425
1101	2	-0.1703824671698797
1101	3	-0.3696808439934429
1101	4	-0.21150002657925882
1101	5	0.06562183591169912
1101	6	-0.059102238587570355
1101	7	-0.022849505726966868
1101	8	0.09004496058468447
1101	9	-0.030038910567967037
1101	10-11	0.04859118670733409
1101	12-13	0.03276135601518604
1101	14-15	-0.14882496077181173
1101	16-17	-0.1966621197222338
1101	18-19	-0.07589406700373758
1101	20-21	0.08393221049419708
1101	22-23	-0.02456116225251037
1101	24-25	0.0075629531003329475
1101	26-27	0.005345220212724655
1101	28-29	-0.021635254538722393
1101	30-31	-0.09565423564922071
1101	32-33	-0.027347057399019548
1101	34-35	-0.18867389369107457
1101	36-37	-0.26272641831659627
1101	38-39	-0.2642913502856885
1101	40-41	-0.2938349792238242
1101	42-43	-0.23852936771248778
1101	44-45	-0.2587255331664835
1101	46-47	-0.30828413165775004
1101	48-49	-0.3057035215376658
1101	50-51	-0.10094358997347541
1101	52-53	-0.1776334347021944
1101	54-55	-0.23130936048973183
1101	56-57	-0.2314843327871543
1101	58-59	-0.22742824792488392
1101	60-61	-0.14115987705923772
1101	62-63	-0.12698280678987572
1101	64-65	-0.12280404959692248
1101	66-67	-0.09152637098282668
1101	68-69	-0.13594610770933002
1101	70-71	-0.07123758768391752
1101	72-73	-0.01983993165239184
1101	74-75	-0.09055245376845988
1101	76-77	-0.04394857796695106
1101	78-79	0.14836271929714684
1101	80-81	0.1790204835365472
1101	82-83	0.2553785087174063
1101	84-85	0.19239917663748685
1101	86-87	0.36035888775446523
1101	88-89	0.4735734619464367
1101	90-91	0.6509579476241569
1101	92-93	0.622751876237686
1101	94-95	0.6580617905364861
1101	96-97	0.5088464391422178
1101	98-99	0.7049601451728762
1101	100-101	0.542638407035767
1102	1	-0.5180587850851843
1102	2	-0.21262551969583754
1102	3	-0.18498368902253048
1102	4	-0.10536197391408564
1102	5	0.053975035588592846
1102	6	0.012903962860093543
1102	7	-0.07590969485068655
1102	8	0.08708621284101525
1102	9	-0.04861574934633239
1102	10-11	-0.057036162856292094
1102	12-13	-0.0864817828977138
1102	14-15	-0.1756088358647716
1102	16-17	-0.08637402610083456
1102	18-19	0.032003692006249196
1102	20-21	0.09160836872226241
1102	22-23	0.05337561315963768
1102	24-25	0.029542790403830566
1102	26-27	0.032054798859171285
1102	28-29	0.007173930010168306
1102	30-31	0.020443488173185642
1102	32-33	0.021226571569535224
1102	34-35	-0.1059024383339775
1102	36-37	-0.1822152772585639
1102	38-39	-0.20105163655797753
1102	40-41	-0.19319057895538805
1102	42-43	-0.14341474232114138
1102	44-45	-0.11188117557711763
1102	46-47	-0.13090754863535636
1102	48-49	-0.09637258944295013
1102	50-51	-0.10482445302803711
1102	52-53	-0.13864713834157527
1102	54-55	-0.20333731993456894
1102	56-57	-0.15155696140633523
1102	58-59	-0.1340462594721572
1102	60-61	-0.19273574833239593
1102	62-63	-0.1842155486094299
1102	64-65	-0.15217685384369872
1102	66-67	-0.14067459356736123
1102	68-69	-0.1368036997091835
1102	70-71	-0.09321187627967475
1102	72-73	-0.04541318720971077
1102	74-75	0.13804859172586248
1102	76-77	0.12791362448697896
1102	78-79	0.1344174730653691
1102	80-81	0.20783953256815835
1102	82-83	0.32510609426518755
1102	84-85	0.34161525492169886
1102	86-87	0.46157336683914707
1102	88-89	0.5806194767117461
1102	90-91	0.7254930355228808
1102	92-93	0.7039500333543032
1102	94-95	0.8467240639003819
1102	96-97	0.8756308513978652
1102	98-99	0.9288800154438519
1102	100-101	0.8314913256897185
1103	1	-0.5903980778874178
1103	2	-0.15374234574477086
1103	3	-0.25103955905552766
1103	4	-0.056818756412127414
1103	5	0.11047344702034678
1103	6	0.15531748051824934
1103	7	0.18225697114110062
1103	8	0.09202195690885873
1103	9	-0.05506732539557646
1103	10-11	-0.047049574746488076
1103	12-13	-0.05899043894120837
1103	14-15	-0.08010129785440512
1103	16-17	-0.16165114157346494
1103	18-19	-0.035457842072283086
1103	20-21	0.18778955928652863
1103	22-23	0.1042774235509043
1103	24-25	0.0610101827194498
1103	26-27	0.032966987922030455
1103	28-29	-0.006465707664766285
1103	30-31	0.00434879513554165
1103	32-33	0.07905839584980612
